year,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Lower Confidence Interval,Upper Confidence Interval,Social support
2020,Finland,Western Europe,1,7.808700085,0.031156305,1.285189509,,0.961271405,0.66231674,0.477857262,-0.059482019,2.762835026,7.869766235,7.747633934,
2020,Denmark,Western Europe,2,7.645599842,0.033492286,1.326948524,,0.979332566,0.665039897,0.495260328,0.066201776,2.432740688,7.711244583,7.579955101,
2020,Switzerland,Western Europe,3,7.559899807,0.035014171,1.39077425,,1.040533185,0.62895447,0.407945901,0.105911039,2.35026741,7.628527641,7.491271973,
2020,Iceland,Western Europe,4,7.504499912,0.059615862,1.326501608,,1.000843406,0.661980748,0.144540772,0.246944219,2.460688114,7.621346951,7.387652874,
2020,Norway,Western Europe,5,7.487999916,0.034837384,1.42420733,,1.008071899,0.670200884,0.434100568,0.13453263,2.168266296,7.55628109,7.419718742,
2020,Netherlands,Western Europe,6,7.448900223,0.02779175,1.338946342,,0.975675344,0.61362648,0.368569762,0.20761244,2.352117062,7.503372192,7.394428253,
2020,Sweden,Western Europe,7,7.353499889,0.036234196,1.322235227,,0.986470461,0.650297701,0.442066371,0.111614622,2.246299267,7.424519062,7.282480717,
2020,New Zealand,Australia and New Zealand,8,7.299600124,0.039465468,1.242317915,,1.008138299,0.646789908,0.461268276,0.191598073,2.128108025,7.376952648,7.222247601,
2020,Austria,Western Europe,9,7.294199944,0.033365164,1.317285538,,1.000933528,0.603368878,0.281256139,0.085429221,2.398446083,7.359595776,7.228804111,
2020,Luxembourg,Western Europe,10,7.237500191,0.030851794,1.536676049,,0.986442685,0.610137045,0.367041469,-0.004620588,2.153700352,7.297969818,7.177030563,
2020,Canada,North America,11,7.23210001,0.04040546,1.301647663,,1.022501945,0.644028127,0.351701856,0.124770768,2.195269108,7.311294556,7.152905464,
2020,Australia,Australia and New Zealand,12,7.222799778,0.041841116,1.310396433,,1.022607684,0.621877193,0.335996419,0.19046016,2.129804134,7.30480814,7.140791416,
2020,United Kingdom,Western Europe,13,7.164500237,0.037161909,1.273061037,,0.97570008,0.525168657,0.322601646,0.263732493,2.236721992,7.237337589,7.091662884,
2020,Israel,Middle East and Northern Africa,14,7.128600121,0.042515181,1.216463685,,1.008052945,0.420699477,0.09989845,0.10259372,2.713358402,7.211929798,7.045270443,
2020,Costa Rica,Latin America and Caribbean,15,7.121399879,0.044816118,0.981107712,,0.939635336,0.645017743,0.096362092,-0.10242971,2.953135014,7.209239483,7.033560276,
2020,Ireland,Western Europe,16,7.093699932,0.039863452,1.446886778,,0.975670695,0.587779939,0.373433262,0.145784974,1.943878174,7.171832085,7.01556778,
2020,Germany,Western Europe,17,7.075799942,0.035609804,1.314184546,,0.972114801,0.564274132,0.309362292,0.080179386,2.295249462,7.145595074,7.00600481,
2020,United States,North America,18,6.939599991,0.047316168,1.37398684,,0.831618011,0.534608245,0.152284741,0.149891734,2.344124794,7.032339573,6.846860409,
2020,Czech Republic,Central and Eastern Europe,19,6.910900116,0.042891297,1.212322354,,0.89456445,0.505744576,0.049803223,-0.230861515,2.796808243,6.994966984,6.826833248,
2020,Belgium,Western Europe,20,6.863500118,0.034370355,1.295842767,,0.964901149,0.499805421,0.208724052,-0.078691199,2.348626614,6.930866241,6.796133995,
2020,United Arab Emirates,Middle East and Northern Africa,21,6.790800095,0.040698379,1.431086421,,0.787814438,0.652936101,0.220213518,0.123450845,2.166965961,6.870568752,6.711031437,
2020,Malta,Western Europe,22,6.772799969,0.042958103,1.252513289,,0.972042024,0.633239031,0.178864077,0.214965805,1.952012062,6.856997967,6.688601971,
2020,France,Western Europe,23,6.663799763,0.037576791,1.268129349,,1.029714227,0.514050901,0.227303237,-0.130641967,2.053198338,6.737450123,6.590149403,
2020,Mexico,Latin America and Caribbean,24,6.465000153,0.048122469,1.024387479,,0.831601024,0.553892553,0.083133668,-0.175266623,2.662540197,6.559319973,6.370680332,
2020,Taiwan Province of China,#N/A,25,6.45539999,0.039139576,1.327470541,,0.878437996,0.449404389,0.131516352,-0.073198698,2.160238743,6.532113552,6.378686428,
2020,Uruguay,Latin America and Caribbean,26,6.440100193,0.045419082,1.071000457,,0.856928885,0.59426707,0.193425074,-0.101103112,2.167276382,6.529121399,6.351078987,
2020,Saudi Arabia,Middle East and Northern Africa,27,6.406499863,0.056533612,1.334328532,,0.759818137,0.548477471,0.163322315,-0.168695062,2.203118801,6.517305851,6.295693874,
2020,Spain,Western Europe,28,6.400899887,0.04230037,1.230535269,,1.051343083,0.425983816,0.109579779,-0.050961714,1.997088432,6.483808517,6.317991257,
2020,Guatemala,Latin America and Caribbean,29,6.398900032,0.058398303,0.753815711,,0.705952585,0.613146722,0.0983603,-0.042938665,2.882723093,6.5133605,6.284439564,
2020,Italy,Western Europe,30,6.38740015,0.043288074,1.236396074,,1.022504926,0.321305573,0.040145598,-0.043460999,2.249505997,6.47224474,6.302555561,
2020,Singapore,Southeastern Asia,31,6.377099991,0.033258967,1.519580126,,1.137814283,0.635317206,0.533162236,0.029879224,0.937031746,6.442287445,6.311912537,
2020,Brazil,Latin America and Caribbean,32,6.375599861,0.040790688,0.952679873,,0.766119063,0.483292729,0.106518604,-0.101812392,2.571860313,6.455549717,6.295650005,
2020,Slovenia,Central and Eastern Europe,33,6.363399982,0.043841314,1.208652496,,0.932548046,0.646700144,0.076516323,-0.080603383,1.888586521,6.449328899,6.277471066,
2020,El Salvador,Latin America and Caribbean,34,6.34829998,0.058248438,0.748940408,,0.752730012,0.524043918,0.117030352,-0.121072978,2.937191725,6.462466717,6.234133244,
2020,Kosovo,Central and Eastern Europe,35,6.325200081,0.052216277,0.840481341,,0.672709167,0.557280421,0.008559024,0.190933764,2.736902714,6.427544117,6.222856045,
2020,Panama,Latin America and Caribbean,36,6.304800034,0.059724931,1.097667813,,0.878546536,0.57984978,0.054230526,-0.153927714,2.221176147,6.421860695,6.187739372,
2020,Slovakia,Central and Eastern Europe,37,6.280600071,0.03889757,1.194837689,,0.853465259,0.423542529,0.011291441,-0.124409303,2.256422043,6.35683918,6.204360962,
2020,Uzbekistan,Central and Eastern Europe,38,6.257599831,0.05422755,0.696652949,,0.716703713,0.693270326,0.280260265,0.248427153,2.073346615,6.36388588,6.151313782,
2020,Chile,Latin America and Caribbean,39,6.228499889,0.045723889,1.096992493,,0.889260828,0.417482227,0.06284935,-0.065668367,2.283012867,6.318118572,6.138881207,
2020,Bahrain,Middle East and Northern Africa,40,6.227300167,0.081882261,1.296692252,,0.838836372,0.610399902,0.126697257,0.13372919,1.751917362,6.387789249,6.066811085,
2020,Lithuania,Central and Eastern Europe,41,6.215499878,0.044193108,1.193559647,,0.795421183,0.42046079,0.081350274,-0.219725296,2.238146067,6.302118301,6.128881454,
2020,Trinidad and Tobago,Latin America and Caribbean,42,6.191899776,0.114448458,1.167641521,,0.658828557,0.55293113,0.015078396,0.000526841,2.190695763,6.416218758,5.967580795,
2020,Poland,Central and Eastern Europe,43,6.186299801,0.035500165,1.16922915,,0.868038476,0.557903528,0.160541251,-0.205084071,2.056797981,6.255880356,6.116719246,
2020,Colombia,Latin America and Caribbean,44,6.163400173,0.056480873,0.93220371,,0.810020149,0.526890039,0.04584837,-0.161235645,2.421656609,6.274102688,6.052697659,
2020,Cyprus,Western Europe,45,6.15899992,0.050605938,1.21279943,,1.026124597,0.459385872,0.051207144,0.043731496,2.032334805,6.258187771,6.059812069,
2020,Nicaragua,Latin America and Caribbean,46,6.13710022,0.063886963,0.620033145,,0.803093255,0.560117304,0.174084574,0.020959141,2.496081114,6.262318611,6.011881828,
